Address,Year Built,Community,Management Company,Fee includes,Amenities,Condo Fee,Beds,Baths,Price,Link
"200 Boundstone Way 301,Kanata, ON K2T 0M9",2017,Richarson Ridge,CONDO MANAGEMENT GROUP,"Building Insurance, Common Area Hydro, Garbage Removal,, Landscape, Management Fee, Reserve Fund Allocation, Snow Removal, Storage","Clubhouse, Elevator, Party Room, Storage Lockers",$709.85,2,2,"$800,000",https://www.redfin.com/on/ottawa/200-Boundstone-Way-K2T-1C5/unit-301/home/178752973
"11 Gingras Crt 122,Kanata, ON K2K 1B8",1975,Beaverbrook,CMG,"Building Insurance, Caretaker, Management Fee, Other (See, Remarks), Water/Sewer",,$681,4,2.5,"$537,500",https://www.redfin.com/on/ottawa/11-Gingras-Crt-K2K-1B8/unit-122/home/178763364
"700 Reverie Pvt,Stittsville, ON K2S 0T9",2018,Stittsville,I-Condo,"Building Insurance, Management Fee, Reserve Fund Allocation,, Snow Removal, Storage","AC, Balcony, Deck, Storage Lockers",$549.85,3,2.5,"$470,000",https://www.redfin.com/on/ottawa/700-Reverie-Pvt-K2S-1V5/home/148760097
"60 Meach Pvt 104,Stittsville, ON K2S 0T8",2012,Stittsville,Condominium Management Group,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$384.50,2,1.5,"$511,000",https://www.redfin.com/on/ottawa/60-Meach-Pvt-K2S-0T8/unit-104/home/148764722
"44 Meach Pvt,Stittsville, ON K2S 0T8",2013,Stittsville,Condominium Management Group,"Building Insurance, Garbage Removal, Management Fee, Snow, Removal, Water/Sewer","AC, Balcony, Deck",$385,1,1,"$497,000",https://www.redfin.com/on/ottawa/44-Meach-Pvt-K2S-0T8/home/148765662
"103 Artesa Pvt Unit E,Ottawa, ON K2S 0J8",2011,Emerald Meadows/ Trailwest,Condo Management Group,"Building Insurance, Caretaker, Management Fee, Snow Removal",,$308.24,2,1,"$414,000",https://www.redfin.com/on/ottawa/103-Artesa-Pvt-K2S-0J8/unit-E/home/148767143
"107 Artesa Pvt Unit D,Ottawa, ON K2S 0J8",2013,Emerald Meadows/trailwest,Condo Management Group,"Building Insurance, Caretaker, General Maintenance and Repair,, Management Fee, Snow Removal",,$254.76,2,2,"$360,000",https://www.redfin.com/on/ottawa/107-Artesa-Pvt-K2S-0J8/unit-D/home/148767356
"1105 Stittsville Main St Unit K,Stittsville, ON K2S 0C6",2007,Jackson Trails,CMG,"General Maintenance and Repair, Landscape, Management Fee, Snow, Removal",,$256.15,2,1,"$399,000",https://www.redfin.com/on/ottawa/1105-Stittsville-Main-St-K2S-0C6/unit-K/home/148767506
"35 Pine Needles Crt,Stittsville, ON K2S 1G5",1990,Amberwood,Sentinel Management,"Building Insurance, Caretaker, General Maintenance and Repair,, Management Fee, Reserve Fund Allocation, Snow Removal",,$500,2,3,"$821,000",https://www.redfin.com/on/ottawa/35-Pine-Needles-Crt-K2S-1G5/home/148772216
"21 Glen Abbey Cres,Ottawa, ON K2S 1R6",1984,Amberwood Village,Sentinel Management,"Building Insurance, Caretaker, Landscape, Management Fee,, Reserve Fund Allocation, Snow Removal, Water/Sewer","Clubhouse, Pool, Tennis Court(S)",$508,2 + 1,2,"$755,000",https://www.redfin.com/on/ottawa/21-Glen-Abbey-Cres-K2S-1R6/home/148772476
"18 Pebble Beach Crt,Stittsville, ON K2S 1B9",1980,Amberwood Village,Sentinel,"Building Insurance, Common Area Hydro, General Maintenance and, Repair, Management Fee, Reserve Fund Allocation, Snow Removal, Water/Sewer",,$552.88,2,1.5,"$525,000",https://www.redfin.com/on/ottawa/18-Pebble-Beach-Crt-K2S-1B9/home/148772514
"13 Spyglass Ridge,Stittsville, ON K2S 1R6",1984,Amberwood Village,Sentinel Management,"Building Insurance, Caretaker, Landscape, Management Fee,, Reserve Fund Allocation, Snow Removal, Water/Sewer","Clubhouse, Other (See Remarks), Pool, Tennis Court(S)",$508,2 + 1,3,"$750,000",https://www.redfin.com/on/ottawa/13-Spyglass-Ridge-K2S-1R6/home/148773936
"14 Kittansett Crt,Ottawa, ON K2S 1B9",1984,Amberwood Village,Sentinel Management,"Building Insurance, Caretaker, Landscape, Management Fee,, Reserve Fund Allocation, Snow Removal, Water/Sewer",,$552.88,2,2,"$551,000",https://www.redfin.com/on/ottawa/14-Kittansett-Crt-K2S-1B9/home/148804713
"8 Laurel Valley Crt,Ottawa, ON K2S 1B9",1982,Amberwood,Sentinel Management,"Caretaker, Landscape, Management Fee, Reserve Fund Allocation,, Snow Removal, Water/Sewer",,$573,2 + 1,3,"$750,000",https://www.redfin.com/on/ottawa/8-Laurel-Valley-Crt-K2S-1B9/home/148833670
"12 Grand Harbour Crt,Stittsville, ON K2S 1H1",1995,Amberwood,Sentinel Property Management,"Building Insurance, General Maintenance and Repair, Landscape,, Management Fee, Reserve Fund Allocation, Snow Removal",None,$525,2,1.5,"$630,500",https://www.redfin.com/on/ottawa/12-Grand-Harbour-Crt-K2S-1H1/home/148834478
"2 - 706 Reverie Pvt,Stittsville, ON K2S 0T9",2018,Stittsville,Self Managed,"Building Insurance, Management Fee, Reserve Fund Allocation,, Snow Removal, Storage",,$549.85,3,2.5,"$576,200",https://www.redfin.com/on/ottawa/706-Reverie-Pvt-K2S-1V5/home/148845584
"15 Dunedin Lane,Ottawa, ON K2S 1L3",1992,Amberwood,condo management group,"Building Insurance, General Maintenance and Repair, Landscape,, Management Fee, Snow Removal",,$490,2,2.5,"$610,000",https://www.redfin.com/on/ottawa/15-Dunedin-Lane-K2S-1L3/home/149039438
"20 Daphne Cres,Ottawa, ON K2S 1Y1",2001,Stittsville,Village Court Res,"Amenities, Building Insurance, Landscape, Other (See Remarks),, Reserve Fund Allocation, Snow Removal","AC, Deck",$458,2,1,"$420,000",https://www.redfin.com/on/ottawa/20-Daphne-Cres-K2S-1Y1/home/149051317
"18 River Oaks Crt,Ottawa, ON K2S 1L3",1992,Amberwood Village,Condo Management Group,"Building Insurance, Caretaker, Landscape, Management Fee, Snow, Removal",,$490,2 + 1,3,"$575,000",https://www.redfin.com/on/ottawa/18-River-Oaks-Crt-K2S-1L3/home/149069520
"100 Artesa Pvt Unit J,Kanata, ON K2S 0J8",2013,Bridlewood Trails,Condo Management Group,"Building Insurance, Caretaker, Management Fee",,$256,0 + 2,2,"$365,000",https://www.redfin.com/on/ottawa/100-Artesa-Pvt-K2S-0J8/unit-J/home/149082219
"1117 Stittsville Main St Unit G,Ottawa, ON K2S 0C9",2007,Jackson Trails,Condominium management group,"Building Insurance, Caretaker, General Maintenance and Repair,, Landscape, Management Fee, Reserve Fund Allocation, Snow Removal",Balcony,$265.01,2,1,"$375,000",https://www.redfin.com/on/ottawa/1117-Stittsville-Main-St-K2S-1B9/unit-G/home/149082479
"34 Innesbrook Crt,Ottawa, ON K2S 1C7",1992,Amberwood,Sentinel,"Building Insurance, General Maintenance and Repair, Landscape,, Management Fee, Snow Removal",,$516,2,2.5,"$625,000",https://www.redfin.com/on/ottawa/34-Innesbrook-Crt-K2S-1H8/home/149090125
"34 Innesbrook Crt,Ottawa, ON K2S 1C7",2008,Jackson Trails,CMG,"Building Insurance, Caretaker, Management Fee, Snow Removal",,$293.57,2,1,"$380,000",https://www.redfin.com/on/ottawa/1103-Stittsville-Main-St-K2S-0C7/unit-G/home/170476554
"109 Artesa Pvt Unit H,Ottawa, ON K2S 0J8",2008,Emerald Meadows / Trailwest,Condo Management Group,"Building Insurance, Caretaker, Management Fee, Snow Removal",,$298.94,2,2,"$420,000",https://www.redfin.com/on/ottawa/109-Artesa-Pvt-K2S-0J8/unit-H/home/170478124
"1109 Stittsville Main St Unit G,Ottawa, ON K2S 0C6",2008,Jackson Trails,Condominium Management Group,"Building Insurance, Caretaker, Management Fee, Snow Removal",,$293.57,2,1,"$428,000",https://www.redfin.com/on/ottawa/1109-Stittsville-Main-St-K2S-0C6/unit-G/home/170956025
"513 Lapland Pvt,Ottawa, ON K2V 0S2",2021,Blackstone South,Goldkey Property Management,"Building Insurance, Caretaker, General Maintenance and Repair,, Landscape, Snow Removal",,$157.63,3,1.5,"$522,088",https://www.redfin.com/on/ottawa/513-Lapland-Pvt-K2S-1B6/home/175387437
"50 Jaguar Pvt Unit J,Ottawa, ON K2V 0J2",2020,Emerald Meadows/trailwest,CMG,"Garbage Removal, General Maintenance and Repair, Landscape, Snow, Removal",,$218,2,2,"$442,500",https://www.redfin.com/on/ottawa/50-Jaguar-Pvt-Unknown/unit-J/home/177172198
"601 Nautilus Pvt,Ottawa, ON K2V 0S5",2021,Blackstone South,TBD,"Building Insurance, Caretaker",,$240,2,1,"$510,000",https://www.redfin.com/on/ottawa/601-Nautilus-Pvt-K2S-1B6/home/177186159
"20 Jaguar Pvt Unit C,Ottawa, ON K2V 0J3",2018,Trailwest,CMG,"Building Insurance, General Maintenance and Repair, Landscape,, Management Fee, Snow Removal, Water/Sewer",,$247.59,2,2,"$500,000",https://www.redfin.com/on/ottawa/20-Jaguar-Pvt-Unknown/unit-C/home/177930310
"371 Haliburton Hts Unit D,Ottawa, ON K2S 1S3",2019,Emerald Meadows/ Trailwest,Condominium Management Group,"Building Insurance, General Maintenance and Repair, Insurance,, Landscape, Management Fee, Snow Removal, Water/Sewer",,$218,2,2,"$491,000",https://www.redfin.com/on/ottawa/371-Haliburton-Hts-K2S-1S3/unit-D/home/177960207
"300 Tulum Cres Unit B,Stittsville, ON K2S 0J7",2021,Emerald Meadows/trailwest,2020 Property Management Limit,"General Maintenance and Repair, Management Fee, Snow Removal",Patio,$173.19,0 + 2,1.5,"$515,000",https://www.redfin.com/on/ottawa/300-Tulum-Cres-K2S-2Y4/unit-B/home/177973568
"371 Haliburton Hts Unit B,Ottawa, ON K2V 0J3",2019,Emerald Meadows/trailwest,Condominium Management Company,"Building Insurance, General Maintenance and Repair, Insurance,, Landscape, Management Fee, Snow Removal, Water/Sewer",,$317.09,2,2,"$515,000",https://www.redfin.com/on/ottawa/371-Haliburton-Hts-K2S-1S3/unit-B/home/178656973
"30 Jaguar Pvt Unit B,Stittsville, ON K2V 0J3",2019,Trailwest,CMG,"Garbage Removal, General Maintenance and Repair, Insurance,, Management Fee, Snow Removal, Water/Sewer",,$250,2,2,"$480,000",https://www.redfin.com/on/ottawa/30-Jaguar-Pvt-K2V-0J3/unit-B/home/178741378
"28 Meach Pvt 6,Stittsville, ON K2S 0T8",2013,Stittsville South,Condominium Management Group,"Building Insurance, General Maintenance and Repair, Landscape,, Snow Removal, Water/Sewer",,$389.73,1,1,"$430,000",https://www.redfin.com/on/ottawa/28-Meach-Pvt-K2S-0T8/unit-6/home/178745923
"111 Pilot Pvt,Kanata, ON K2V 0S4",2021,Blackstone South,Goldkey Property Management,"Building Insurance, Caretaker, General Maintenance and Repair,, Landscape, Snow Removal",,$157.47,3,1.5,"$542,500",https://www.redfin.com/on/ottawa/Pilot-Pvt-K2S-1B6/home/178928102
"103 Artesa Pvt Unit C,Kanata, ON K2S 0J8",2011,Emerald Meadows/ Trailwest,Condo Management Group,"Caretaker, Insurance, Management Fee, Snow Removal",,$356.82,2,1,"$415,100",https://www.redfin.com/on/ottawa/103-Artesa-Pvt-K2S-0J8/unit-C/home/178947434
"107 Pilot Pvt,Ottawa, ON K2V 0S4",2022,Blackstone/kanata,Goldkey Property,"Building Insurance, Caretaker, Management Fee, Snow Removal",,$156.16,3,1.5,"$524,900",https://www.redfin.com/on/ottawa/107-Pilot-Pvt-K2S-1B6/home/178964559
"1250 Mcwatters Rd 14,Ottawa, ON K2C 3P5",1970,Queensway Terrance South,Condominium Management Group,"Building Insurance, Garbage Removal, General Maintenance and, Repair, Landscape, Management Fee, Reserve Fund Allocation, Snow Removal,, Water/Sewer",,$452.44,3,1,"$370,000",https://www.redfin.com/on/ottawa/1250-McWatters-Rd-K2C-3P5/unit-14/home/148781800
"1250 Mcwatters Rd 74,Ottawa, ON K2C 3P5",1970,Queensway Terrace South,Condominium Management Group,"Building Insurance, Caretaker, Garbage Removal, General, Maintenance and Repair, Management Fee, Reserve Fund Allocation, Snow Removal,, Water/Sewer",,$468,2,1,"$373,000",https://www.redfin.com/on/ottawa/1250-McWatters-Rd-K2C-3P5/unit-74/home/148781968
"139 Corinth Pvt,Ottawa, ON K2E 0A8",2008,Citiplace,20/20 Property Management,"Building Insurance, Caretaker, Management Fee, Snow Removal",Balcony,$310,2,1.5,"$520,000",https://www.redfin.com/on/ottawa/139-Corinth-Pvt-K2E-0A8/home/148799072
"240 Tivoli Pvt,Ottawa, ON K2E 0A6",2010,Citiplace,MJM,"Building Insurance, Caretaker, Garbage Removal, Landscape,, Management Fee, Reserve Fund Allocation, Snow Removal, Water/Sewer",,$277,0 + 2,1.5,"$510,000",https://www.redfin.com/on/ottawa/240-Tivoli-Pvt-K2E-0A6/home/148799393
"214 Viewmount Dr 412,Ottawa, ON K2E 7X3",1986,Viewount Woods,Apollo Property Management,"Building Insurance, Caretaker, Management Fee, Water/Sewer","Balcony, Elevator, Playground",$303.76,1,1,"$233,000",https://www.redfin.com/on/ottawa/214-Viewmount-Dr-K2E-7X3/unit-412/home/148801406
"214 Viewmount Dr 105,Ottawa, ON K2E 7X3",1987,Viewmount Woods,Apollo,"Building Insurance, Caretaker, Management Fee, Snow Removal,, Water/Sewer",Patio,$426.14,2,1,"$300,000",https://www.redfin.com/on/ottawa/214-Viewmount-Dr-K2E-7X3/unit-105/home/148801442
"218 Viewmount Dr 309,Ottawa, ON K2E 7X5",1987,Borden Farm,Apollo Property Management,"Building Insurance, Management Fee, Water/Sewer","Elevator, Playground",$297.39,1,1,"$245,000",https://www.redfin.com/on/ottawa/218-Viewmount-Dr-K2E-7X2/unit-309/home/148801945
"216 Viewmount Dr 107,Ottawa, ON K2E 7X4",1987,Borden Farm,Apollo Management,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$297.39,1,1,"$245,000",https://www.redfin.com/on/ottawa/216-Viewmount-Dr-K2E-7X4/unit-107/home/148802631
"218 Viewmount Dr 318,Ottawa, ON K2E 7X5",1987,Viewmount Woods,Apollo Management,"Building Insurance, Caretaker, Landscape, Management Fee, Snow, Removal, Water/Sewer","Elevator, Playground",$417,2,1,"$265,900",https://www.redfin.com/on/ottawa/218-Viewmount-Dr-K2E-7X2/unit-318/home/148809970
"120 Grant Carman Dr 610,Ottawa, ON K2E 1C8",2005,Parkwood Hills,Apollo,"Building Insurance, Caretaker, Heat, Management Fee, Recreation, Facilities, Water/Sewer","Balcony, Exercise Centre, Indoor Pool, Party Room, Sauna, Storage, Lockers",$548,2,2,"$499,900",https://www.redfin.com/on/ottawa/120-Grant-Carman-Dr-K2E-1C8/unit-610/home/148818322
"120 Grant Carman Dr 403,Ottawa, ON K2E 1C8",2005,The Crystelle,Apollo Property Management,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Recreation Facilities, Reserve Fund Allocation, Water/Sewer","Exercise Centre, Indoor Pool, Party Room, Sauna, Storage Lockers",$583.91,2,2,"$449,000",https://www.redfin.com/on/ottawa/120-Grant-Carman-Dr-K2E-1C8/unit-403/home/148818846
"120 Grant Carman Dr 1103,Ottawa, ON K2E 1C8",2005,Borden Frm/carleton Heights,Apollo,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Recreation Facilities, Reserve Fund Allocation, Water/Sewer","Balcony, Exercise Centre, Indoor Pool, Party Room, Sauna, Storage, Lockers",$583.91,2,2,"$538,850",https://www.redfin.com/on/ottawa/120-Grant-Carman-Dr-K2E-1C8/unit-1103/home/148818953
"100 Grant Carman Dr 711,Ottawa, ON K2E 8B8",1991,Parkwood Hills/borden Farm,Condo Management Group,"Amenities, Building Insurance, Caretaker, Management Fee,, Recreation Facilities, Water/Sewer","Elevator, Exercise Centre, Indoor Pool, Party Room, Sauna, Storage, Lockers, Whirlpool",$623.43,2,2,"$525,000",https://www.redfin.com/on/ottawa/100-Grant-Carman-Dr-K2E-8B8/unit-711/home/148820763
"100 Grant Carman Dr 513,Ottawa, ON K2E 8B8",1990,Parkwood Hills/borden Farm,Condo Management Group,"Amenities, Building Insurance, Caretaker, Management Fee,, Recreation Facilities, Water/Sewer","Elevator, Exercise Centre, Indoor Pool, Party Room, Sauna, Storage, Lockers, Whirlpool",$662.18,2,2,"$463,000",https://www.redfin.com/on/ottawa/100-Grant-Carman-Dr-K2E-8B8/unit-513/home/148821197
"20 Chesterton Dr 820,Ottawa, ON K2E 6Z7",1971,Borden Farm,AMG,"Building Insurance, Caretaker, Heat, Hydro, Management Fee,, Recreation Facilities, Water/Sewer","Elevator, Exercise Centre, Laundry, Multi Use Room, Outdoor Pool",$558,2,1,"$310,500",https://www.redfin.com/on/ottawa/20-Chesterton-Dr-K2E-6Z7/unit-820/home/148822522
"20 Chesterton Dr 216,Ottawa, ON K2E 6Z7",1972,Parkwood Hills,AMG Property Management,"Amenities, Building Insurance, Heat, Hydro, Management Fee, Snow, Removal, Water/Sewer","Elevator, Exercise Centre, Guest Suite, Laundry, Multi Use Room,, Outdoor Pool, Workshop",$552,2,1,"$235,800",https://www.redfin.com/on/ottawa/20-Chesterton-Dr-K2E-6Z7/unit-216/home/148823267
"20 Chesterton Dr 804,Ottawa, ON K2E 6Z7",1972,Parkwood Hills,AGM Property Management,"Amenities, Building Insurance, Caretaker, Heat, Hydro,, Management Fee, Recreation Facilities, Storage, Water/Sewer","Exercise Centre, Guest Suite, Party Room, Recreation Centre,, Rooftop Terrace, Storage Lockers, Workshop",$670,3,1.5,"$372,000",https://www.redfin.com/on/ottawa/20-Chesterton-Dr-K2E-6Z7/unit-804/home/148823462
"20 Chesterton Dr 1201,Ottawa, ON K2E 6Z7",1972,Borden Farm,AGM Property Management,"Building Insurance, Caretaker, Heat, Hydro, Management Fee,, Recreation Facilities, Water/Sewer","Balcony, Elevator, Laundry, Outdoor Pool, Party Room, Sauna",$494.08,1,1,"$262,000",https://www.redfin.com/on/ottawa/20-Chesterton-Dr-K2E-6Z7/unit-1201/home/148823611
"20 Chesterton Dr 205,Ottawa, ON K2E 6Z7",1972,Borden Farm/parkwood Hills,AGM MGNT CO. - Reid McLaughlin,"Amenities, Building Insurance, Caretaker, Heat, Hydro,, Management Fee, Recreation Facilities, Water/Sewer","Elevator, Exercise Centre, Guest Suite, Laundry, Multi Use Room,, Outdoor Pool, Storage Lockers",$587.36,2,1,"$228,000",https://www.redfin.com/on/ottawa/20-Chesterton-Dr-K2E-6Z7/unit-205/home/148824210
"20 Chesterton Dr 608,Ottawa, ON K2E 6Z7",1972,Borden Farm,AMG Property management,"Building Insurance, Caretaker, Heat, Hydro, Management Fee,, Recreation Facilities, Snow Removal, Water/Sewer","Elevator, Guest Suite, Laundry, Outdoor Pool, Party Room,, Recreation Centre, Workshop",$448.35,1,1,"$282,000",https://www.redfin.com/on/ottawa/20-Chesterton-Dr-K2E-6Z7/unit-608/home/148824408
"2639 Pimlico Cres,Gloucester, ON K1T 2A7",1983,Emerald Woods,CMG,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Snow Removal, Water/Sewer",,$395,3,1.5,"$385,333",https://www.redfin.com/on/ottawa/2639-Pimlico-Cres-K1T-2A7/home/148867807
"35 Waterford Dr,Ottawa, ON K2E 7V4",1986,Waterford On The Rideau,Eastern Ontario Property Mgmt,"Building Insurance, Caretaker, Management Fee, Snow Removal","Clubhouse, Water View",$809.34,3,2.5,"$707,000",https://www.redfin.com/on/ottawa/35-Waterford-Dr-K2E-7V4/home/148884271
"2759 Carousel Cres 1408,Ottawa, ON K1T 2N5",1987,Sawmill Creek,Capital Integral Property Mgmt,"Amenities, Building Insurance, Caretaker, Management Fee,, Recreation Facilities, Reserve Fund Allocation, Snow Removal, Water/Sewer","Exercise Centre, Guest Suite, Outdoor Pool, Racquet Courts, Rooftop, Terrace, Sauna, Whirlpool",$554.29,2,2,"$361,900",https://www.redfin.com/on/ottawa/2759-Carousel-Cres-K1T-2N5/unit-1408/home/148912523
"2760 Carousel Cres 810,Ottawa, ON K1T 2N4",1986,Emerald Woods/sawmill Creek,BERKLEY PROPERTY MANAGEMENT,"Amenities, Building Insurance, General Maintenance and Repair,, Management Fee, Recreation Facilities, Water/Sewer","Amenities, Building Insurance, General Maintenance and Repair,, Management Fee, Recreation Facilities, Water/Sewer",$606.95,2,2,"$325,000",https://www.redfin.com/on/ottawa/2760-Carousel-Cres-K1T-2N4/unit-810/home/148914809
"6 Waterford Way,Ottawa, ON K2E 7V4",2006,Waterford On The Rideau,Self Managed,"Building Insurance, Caretaker, Recreation Facilities",,$450,2 + 2,2.5,"$1,150,000",https://www.redfin.com/on/ottawa/6-Waterford-Way-K2E-7V4/home/148949821
"214 Viewmount Dr 214,Ottawa, ON K2E 7X3",1987,Borden Farm,Apollo Management,"Building Insurance, Caretaker, Management Fee, Water/Sewer","Elevator, Playground",$309.83,1,1,"$241,500",https://www.redfin.com/on/ottawa/214-Viewmount-Dr-K2E-7X3/unit-214/home/148954824
"218 Viewmount Dr 104,Ottawa, ON K2E 7X5",1987,Borden Farm,Apollo Property Mangement,"Building Insurance, Management Fee, Water/Sewer",,$439.46,3,1,"$425,000",https://www.redfin.com/on/ottawa/218-Viewmount-Dr-K2E-7X2/unit-104/home/148955166
"120 Grant Carman Dr 1202,Ottawa, ON K2E 1C8",2005,Parkwood Hills,Apollo,"Building Insurance, Caretaker, Heat, Insurance, Management Fee,, Recreation Facilities, Water/Sewer","AC, Balcony, Elevator, Indoor Pool, Party Room, Sauna, Storage, Lockers",$548,2,2,"$500,000",https://www.redfin.com/on/ottawa/120-Grant-Carman-Dr-K2E-1C8/unit-1202/home/148968597
"120 Grant Carman Dr 801,Ottawa, ON K2E 1C8",2005,Borden Farm,Apollo Property Management,"Air Conditioning, Building Insurance, Caretaker, Heat,, Management Fee, Recreation Facilities, Water/Sewer","Elevator, Exercise Centre, Indoor Pool, Party Room",$381.33,1,1,"$400,000",https://www.redfin.com/on/ottawa/120-Grant-Carman-Dr-K2E-1C8/unit-801/home/148968678
"120 Grant Carman Dr 209,Ottawa, ON K2E 1C8",2004,Borden Frm/carleton Heights,Apollo,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Water/Sewer","Elevator, Exercise Centre, Indoor Pool, Multi Use Room, Sauna",$618,2,2,"$540,000",https://www.redfin.com/on/ottawa/120-Grant-Carman-Dr-K2E-1C8/unit-209/home/148968951
